titulo,autor,isbn,editorial,año_publicacion,nivel_lectura,genero,cantidad_total
El árbol de los pájaros,,,La Galera,,,,1
Mi gorrión,,,La Galera,,,,1
La rana lista,,,La Galera,,,,1
El pirata Higinio,,,La Galera,,,,1
El amo que se bebió la luna,,,La Galera,,,,1
La gran escalera,,,La Galera,,,,1
Zonzo el hilo y la araña,,,La Galera,,,,1
Un botón llorón,,,La Galera,,,,1
Dentro de un castaño,,,La Galera,,,,1
Barre que barrerás,,,La Galera,,,,1
¡Vaya invento!,,,La Galera,,,,1
Los chalecos del labrador,,,La Galera,,,,1
La leyenda de San Jorge,,,La Galera,,,,1
La zorra y el pescador,,,La Galera,,,,1
Una carta para Marta,,,La Galera,,,,1
El semáforo,,,La Galera,,,,1
La marmota inventora,,,La Galera,,,,1
Los monstruos monstruosos,,,La Galera,,,,1
Glup-Glup,,,La Galera,,,,1
El cajón de Pepín,,,La Galera,,,,1
Historias de un árbol,,,La Galera,,,,1
La bruja que iba en bicicleta,,,La Galera,,,,1
Papá sin voz,,,La Galera,,,,1
La giganta y el cuervo negro,,,La Galera,,,,1
Vuelan gatos,,,La Galera,,,,1
"¡Salta, No-Mon!",,,La Galera,,,,2
El caballito de cartón,,,La Galera,,,,1
Querido abuelo,,,La Galera,,,,1
Los grillos y las cigarras,,,La Galera,,,,1
"Genaro, la caracola y el mar",,,La Galera,,,,1
La luciérnaga Luci,,,La Galera,,,,1
El pequeño abeto,,,La Galera,,,,1
El hermano de Juan Truco,,,La Galera,,,,1
