Etapa,Area,Trimestre,SDA_ID,SDA_Titulo,Criterio_Codigo,Criterio_Descriptor,Competencia_Codigo,Competencia_Descriptor,Actividad_ID,Actividad_Titulo,Criterios_Vinculados,Fecha,Sesion_Numero,Sesion_Titulo,Descripcion_Sesion
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,6_CRR_CE1_C3,Participar en situaciones comunicativas,CE1,Comunicación oral y expresión,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,6_CRR_CE1_C4,Comprender mensajes orales,CE1,Comunicación oral y expresión,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,6_CRR_CE3_C7,Expresión a través de lenguajes artísticos,CE3,Expresión artística y creativa,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,6_CRR_CE4_C3,Uso de diferentes formas de representación,CE4,Representación de la realidad,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,6_CRR_CE5_C1,Iniciación a la lectura y escritura,CE5,Lectoescritura,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,6_CRR_CE5_C5,Producción de mensajes,CE5,Lectoescritura,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,6_CRR_CE1_C3,Participar en situaciones comunicativas,CE1,Comunicación oral y expresión,W1_SDA6_CRR,El lenguaje del cine,,2026-04-07,1,Hablamos sobre el cine,Asamblea inicial: ¿habéis ido alguna vez al cine? ¿qué películas conocéis? Compartir experiencias en gran grupo. Aprender vocabulario básico: película director actor pantalla.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W1_SDA6_CRR,El lenguaje del cine,,2026-04-08,2,Describimos lo que vemos,Mostrar fotogramas de películas animadas. Los niños describen oralmente lo que ven: personajes colores lugar. Trabajar la observación y la expresión oral.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W1_SDA6_CRR,El lenguaje del cine,,2026-04-09,3,Inventamos diálogos sencillos,En parejas inventar un diálogo entre dos personajes de una película conocida. Representarlo ante el grupo con gestos y entonación.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W1_SDA6_CRR,El lenguaje del cine,,2026-04-10,4,Contamos historias con imágenes,Con tarjetas de imágenes cada niño ordena una secuencia y cuenta la historia en voz alta al grupo. Trabajar el inicio nudo y desenlace de forma oral.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W2_SDA6_CRR,La voz del teatro,,2026-04-13,1,Hablamos con el cuerpo y la voz,Juegos de expresión: decir una frase con distintas emociones (alegría miedo sorpresa). Observar cómo cambia la voz y el cuerpo según la emoción.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W2_SDA6_CRR,La voz del teatro,,2026-04-14,2,Jugamos a ser locutores,Simular que son locutores de radio o presentadores de televisión. Presentar en voz alta una noticia inventada sobre la clase o el colegio.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W2_SDA6_CRR,La voz del teatro,,2026-04-15,3,Leemos trabalenguas y poesías,Practicar trabalenguas y poesías sencillas relacionadas con el tema. Trabajar la articulación la velocidad y el ritmo del habla.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W2_SDA6_CRR,La voz del teatro,,2026-04-16,4,Escuchamos con atención,Juegos de escucha activa: el maestro cuenta un cuento y los niños deben recordar detalles. Responder preguntas sobre lo escuchado.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W2_SDA6_CRR,La voz del teatro,,2026-04-17,5,Contamos el cuento con gestos,Narrar un cuento conocido acompañando cada parte con gestos y movimientos. Los niños participan imitando los gestos y completando frases.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W3_SDA6_CRR,Escribimos nuestro guión,,2026-04-20,1,¿Qué es un guión?,Explicar qué es un guión de teatro con un ejemplo sencillo. Leer juntos un guión corto e identificar sus partes: personajes diálogos y acotaciones.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W3_SDA6_CRR,Escribimos nuestro guión,,2026-04-21,2,Inventamos personajes y situaciones,En asamblea crear entre todos los personajes de la obra: nombre personalidad y cómo hablan. Anotar las ideas en la pizarra o en un mural.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W3_SDA6_CRR,Escribimos nuestro guión,,2026-04-22,3,Construimos los diálogos,Dictar los diálogos de cada escena al maestro que los transcribe. Leerlos en voz alta para comprobar que suenan naturales y expresivos.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W3_SDA6_CRR,Escribimos nuestro guión,,2026-04-23,4,Ilustramos el guión,Cada niño ilustra una escena del guión. Las ilustraciones se recogen en el cuadernillo del guión que servirá de referencia para los ensayos.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W3_SDA6_CRR,Escribimos nuestro guión,,2026-04-24,5,Leemos el guión en voz alta,Leer el guión completo en voz alta por primera vez con todos los personajes. Cada niño lee o repite su parte. Reflexionar sobre qué hay que mejorar.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W4_SDA6_CRR,Aprendemos el texto,,2026-04-27,1,Memorizamos nuestras frases,Trabajar en pequeños grupos la memorización de las frases de cada personaje. Juegos de repetición y encadenamiento de diálogos.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W4_SDA6_CRR,Aprendemos el texto,,2026-04-28,2,Practicamos la entonación,Ensayar las frases con diferentes entonaciones. El maestro modela y los niños imitan. Prestar atención a las preguntas exclamaciones y momentos de suspenso.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W4_SDA6_CRR,Aprendemos el texto,,2026-04-29,3,Proyectamos la voz,Ejercicios de proyección de voz: hablar en voz alta clara y lenta. Practicar frente al grupo como si hubiera público. Trabajar la vocalización.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W4_SDA6_CRR,Aprendemos el texto,,2026-04-30,4,Ensayamos los diálogos,Ensayo de los diálogos entre personajes por escenas. Centrarse en la fluidez y la expresividad más que en la perfección del texto.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W5_SDA6_CRR,Comunicamos en escena,,2026-05-04,1,Hablamos y escuchamos en escena,Ensayar prestando atención a escuchar al compañero antes de hablar. Trabajar los turnos de palabra y la escucha activa dentro de la representación.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W5_SDA6_CRR,Comunicamos en escena,,2026-05-05,2,Usamos el lenguaje musical,Incorporar canciones o ritmos a la obra. Practicar las partes cantadas con el grupo. El lenguaje musical como forma de comunicación y expresión.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W5_SDA6_CRR,Comunicamos en escena,,2026-05-06,3,Expresión plástica del guión,Crear el programa de mano de la obra con dibujos y el título. Trabajar la comunicación visual como complemento a la comunicación oral.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W5_SDA6_CRR,Comunicamos en escena,,2026-05-07,4,Narramos nuestra historia,Un narrador cuenta la historia mientras los actores la representan. Trabajar la narración oral clara y pausada.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W5_SDA6_CRR,Comunicamos en escena,,2026-05-08,5,Ensayo con texto completo,Primer ensayo completo con texto canciones y movimientos. El maestro observa y anota aspectos a mejorar en la comunicación oral.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W6_SDA6_CRR,Preparamos la presentación,,2026-05-11,1,Repasamos el guión,Lectura del guión completo para refrescar los textos. Resolver dudas sobre pronunciación o significado de palabras.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W6_SDA6_CRR,Preparamos la presentación,,2026-05-12,2,Ensayo final con texto,Ensayo final completo con especial atención a la claridad de los diálogos y la proyección de la voz para que el público pueda oír bien.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W6_SDA6_CRR,Preparamos la presentación,,2026-05-13,3,Carta de invitación a las familias,Dictar o escribir una carta de invitación para las familias. Trabajar la escritura como forma de comunicación con un propósito real.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W6_SDA6_CRR,Preparamos la presentación,,2026-05-14,4,Ensayo general,Ensayo general ante otro grupo del centro. Pedir feedback: ¿se entendía bien? ¿hablaban alto? Reflexionar sobre la comunicación con el público.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W6_SDA6_CRR,Preparamos la presentación,,2026-05-15,5,Todo listo para actuar,Repasar los últimos detalles del texto y las canciones. Asegurarse de que todos se sienten seguros con sus parlamentos.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W7_SDA6_CRR,¡Actuamos!,,2026-05-18,1,Último repaso del texto,Repaso rápido y animado de las frases clave. Juegos de calentamiento vocal y de expresión para entrar en situación.
Infantil,Comunicación y Representación de la Realidad,T3,SDA6_CRR,Cine y teatro,,,,,W7_SDA6_CRR,¡Actuamos!,,2026-05-19,2,¡Representamos nuestra obra!,Representación ante las familias. Tras la actuación reflexión en asamblea: ¿cómo nos hemos sentido? ¿hemos comunicado bien nuestra historia?
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,7_CRR_CE1_C3,Participar en situaciones comunicativas,CE1,Comunicación oral y expresión,,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,7_CRR_CE1_C4,Comprender mensajes orales,CE1,Comunicación oral y expresión,,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,7_CRR_CE3_C7,Expresión a través de lenguajes artísticos,CE3,Expresión artística y creativa,,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,7_CRR_CE4_C3,Uso de diferentes formas de representación,CE4,Representación de la realidad,,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,7_CRR_CE5_C1,Iniciación a la lectura y escritura,CE5,Lectoescritura,,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,7_CRR_CE5_C5,Producción de mensajes,CE5,Lectoescritura,,,,,,,
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W1_SDA7_CRR,Palabras del universo,,2026-05-20,1,Vocabulario del espacio,Introducir vocabulario nuevo: planeta estrella galaxia cometa asteroide. Con tarjetas imagen-palabra. Juego de emparejar imagen con su nombre.
Infantil,Comunicación y Representación de la Realidad,T3,SDA7_CRR,El universo,,,,,W1_SDA7_CRR,Palabras del universo,,2026-05-21,2,Canciones sobre el universo,Aprender una canción sobre los planetas o el espacio. Trabajar la letra la melodía y el ritmo como forma de comunicación y memorización.
