titulo,autor,isbn,editorial,año_publicacion,nivel_lectura,genero,cantidad_total
Las estrellas,Fátima de la Jara,,Edelvives,,,,1
El encuentro,Fátima de la Jara,,Edelvives,,,,1
La sorpresa,Fátima de la Jara,,Edelvives,,,,1
El drago,Fátima de la Jara,,Edelvives,,,,1
El castaño,Fátima de la Jara,,Edelvives,,,,1
"Micaela, una rana ridícula",Rocío Antón; Paz Rodero,,Edelvives,,,,1
"Curro, un castor trabajador",Rocío Antón; Paz Rodero,,Edelvives,,,,1
El olmo,Fátima de la Jara,,Edelvives,,,,1
El viento y la contaminación,Fátima de la Jara,,Edelvives,,,,1
Limoneros y naranjos,Fátima de la Jara,,Edelvives,,,,1
