Etapa,Area,Trimestre,SDA_ID,SDA_Titulo,Duracion_Semanas,Criterio_Codigo,Criterio_Descriptor,Competencia_Codigo,Competencia_Descriptor,Saberes_Basicos,Actividad_ID,Actividad_Titulo,Actividad_Descripcion,Actividad_Sesiones,Semana_Numero,Semana_Titulo,Dia,Fecha,Sesion_Numero,Sesion_Titulo,Descripcion_Sesion,Material,Evaluable
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.1,Actividad Teatro y Cine 1,Desarrollo de la actividad 1 vinculada a 6.CR.CE1.3,1,1,Semana 1,Martes,07-04-2026,1,Sesión 1,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.2,Actividad Teatro y Cine 2,Desarrollo de la actividad 2 vinculada a 6.CR.CE1.4,1,1,Semana 1,Martes,07-04-2026,2,Sesión 2,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.3,Actividad Teatro y Cine 3,Desarrollo de la actividad 3 vinculada a 6.CR.CE3.7,1,1,Semana 1,Miércoles,08-04-2026,1,Sesión 3,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.4,Actividad Teatro y Cine 4,Desarrollo de la actividad 4 vinculada a 6.CR.CE4.3,1,1,Semana 1,Miércoles,08-04-2026,2,Sesión 4,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.1,Utilizar dispositivos digitales para el aprendizaje y comunicación,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.5,Actividad Teatro y Cine 5,Desarrollo de la actividad 5 vinculada a 6.CR.CE5.1,1,1,Semana 1,Jueves,09-04-2026,1,Sesión 5,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE5.5,Interpretar y valorar críticamente mensajes audiovisuales,CE5,Competencia específica del área,Contenidos del tercer trimestre,SA6.6,Actividad Teatro y Cine 6,Desarrollo de la actividad 6 vinculada a 6.CR.CE5.5,1,1,Semana 1,Jueves,09-04-2026,2,Sesión 6,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.3,"Expresar mensajes con claridad, coherencia e intención",CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.7,Actividad Teatro y Cine 7,Desarrollo de la actividad 7 vinculada a 6.CR.CE1.3,1,1,Semana 1,Viernes,10-04-2026,1,Sesión 7,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE1.4,Participar en interacciones comunicativas con actitud cooperativa,CE1,Competencia específica del área,Contenidos del tercer trimestre,SA6.8,Actividad Teatro y Cine 8,Desarrollo de la actividad 8 vinculada a 6.CR.CE1.4,1,1,Semana 1,Viernes,10-04-2026,2,Sesión 8,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE3.7,Expresar sentimientos y emociones a través de lenguajes artísticos,CE3,Competencia específica del área,Contenidos del tercer trimestre,SA6.9,Actividad Teatro y Cine 9,Desarrollo de la actividad 9 vinculada a 6.CR.CE3.7,1,1,Semana 1,Lunes,13-04-2026,1,Sesión 9,Sesión de trabajo: Teatro y Cine,Material de aula,Si
Infantil,Comunicación y Representación de la Realidad,T3,SA6,Teatro y Cine,11,6.CR.CE4.3,Iniciarse en el uso de la escritura para comunicar mensajes,CE4,Competencia específica del área,Contenidos del tercer trimestre,SA6.10,Actividad Teatro y Cine 10,Desarrollo de la actividad 10 vinculada a 6.CR.CE4.3,1,1,Semana 1,Lunes,13-04-2026,2,Sesión 10,Sesión de trabajo: Teatro y Cine,Material de aula,Si
